trade_date,maturity,strike,option_type,market_price,underlying,r,q,order_book_id,volume,days_to_expiry,S0,api_iv,log_moneyness
2025-04-01,0.9671232876712329,4400.0,call,99.30000000000001,3887.6841,0.02,0.0,IO2603C4400,316.0,353,3887.6841,,
2025-04-01,0.9671232876712329,4400.0,put,645.0,3887.6841,0.02,0.0,IO2603P4400,8.0,353,3887.6841,,
2025-04-02,0.9643835616438357,3400.0,call,517.2,3884.3858,0.02,0.0,IO2603C3400,0.0,352,3884.3858,,
2025-04-02,0.9643835616438357,3400.0,put,86.9,3884.3858,0.02,0.0,IO2603P3400,15.0,352,3884.3858,,
2025-04-02,0.9643835616438357,3500.0,call,445.7,3884.3858,0.02,0.0,IO2603C3500,0.0,352,3884.3858,,
2025-04-02,0.9643835616438357,3500.0,put,112.3,3884.3858,0.02,0.0,IO2603P3500,42.0,352,3884.3858,,
2025-04-02,0.9643835616438357,3600.0,call,378.0,3884.3858,0.02,0.0,IO2603C3600,1.0,352,3884.3858,,
2025-04-02,0.9643835616438357,3600.0,put,143.3,3884.3858,0.02,0.0,IO2603P3600,13.0,352,3884.3858,,
2025-04-02,0.9643835616438357,3700.0,call,322.5,3884.3858,0.02,0.0,IO2603C3700,3.0,352,3884.3858,,
2025-04-02,0.9643835616438357,3700.0,put,181.4,3884.3858,0.02,0.0,IO2603P3700,6.0,352,3884.3858,,
2025-04-02,0.9643835616438357,3800.0,call,271.8,3884.3858,0.02,0.0,IO2603C3800,8.0,352,3884.3858,,
2025-04-02,0.9643835616438357,3800.0,put,224.4,3884.3858,0.02,0.0,IO2603P3800,1.0,352,3884.3858,,
2025-04-02,0.9643835616438357,3900.0,call,226.8,3884.3858,0.02,0.0,IO2603C3900,4.0,352,3884.3858,,
2025-04-02,0.9643835616438357,3900.0,put,283.4,3884.3858,0.02,0.0,IO2603P3900,34.0,352,3884.3858,,
2025-04-02,0.9643835616438357,4000.0,call,189.9,3884.3858,0.02,0.0,IO2603C4000,25.0,352,3884.3858,,
2025-04-02,0.9643835616438357,4000.0,put,344.7,3884.3858,0.02,0.0,IO2603P4000,0.0,352,3884.3858,,
2025-04-02,0.9643835616438357,4100.0,call,162.2,3884.3858,0.02,0.0,IO2603C4100,1.0,352,3884.3858,,
2025-04-02,0.9643835616438357,4100.0,put,415.70000000000005,3884.3858,0.02,0.0,IO2603P4100,3.0,352,3884.3858,,
2025-04-02,0.9643835616438357,4200.0,call,137.0,3884.3858,0.02,0.0,IO2603C4200,1.0,352,3884.3858,,
2025-04-02,0.9643835616438357,4200.0,put,476.6,3884.3858,0.02,0.0,IO2603P4200,0.0,352,3884.3858,,
2025-04-02,0.9643835616438357,4300.0,call,115.8,3884.3858,0.02,0.0,IO2603C4300,11.0,352,3884.3858,,
2025-04-02,0.9643835616438357,4300.0,put,616.9000000000001,3884.3858,0.02,0.0,IO2603P4300,0.0,352,3884.3858,,
2025-04-02,0.9643835616438357,4400.0,call,102.9,3884.3858,0.02,0.0,IO2603C4400,75.0,352,3884.3858,,
2025-04-02,0.9643835616438357,4400.0,put,648.4000000000001,3884.3858,0.02,0.0,IO2603P4400,8.0,352,3884.3858,,
2025-04-03,0.9616438356164384,3400.0,call,493.0,3861.5034,0.02,0.0,IO2603C3400,1.0,351,3861.5034,,
2025-04-03,0.9616438356164384,3400.0,put,92.2,3861.5034,0.02,0.0,IO2603P3400,68.0,351,3861.5034,,
2025-04-03,0.9616438356164384,3500.0,call,436.9,3861.5034,0.02,0.0,IO2603C3500,6.0,351,3861.5034,,
