date,rv_minute,n_observations,n_returns,annualized_vol
2024-04-30,7.569576572346993e-06,61,60,4.367531678455741
2024-05-06,8.20815679338999e-06,61,60,4.548027607583618
2024-05-07,6.090778484882139e-06,61,60,3.9177495813161656
2024-05-08,3.248955646642083e-06,61,60,2.8613577597948234
2024-05-09,6.757130142748634e-06,61,60,4.126495845111995
2024-05-10,6.920911524374479e-06,61,60,4.176206058305036
2024-05-13,7.754994481743627e-06,61,60,4.420699729001501
2024-05-14,6.481111928806583e-06,61,60,4.041336667563417
2024-05-15,5.354688757460068e-06,61,60,3.6733929368908207
2024-05-16,7.676102503336195e-06,61,60,4.398156239653977
2024-05-17,6.38094055662303e-06,61,60,4.0099838157641035
2024-05-20,5.399136843358537e-06,61,60,3.688607439842781
2024-05-21,4.522121992568231e-06,61,60,3.3757587919269265
2024-05-22,6.3917709497082075e-06,61,60,4.0133854528645365
2024-05-23,6.921485553704095e-06,61,60,4.1763792446728685
2024-05-24,9.453467306239068e-06,61,60,4.88085418873812
2024-05-27,7.038186778081953e-06,61,60,4.211440452002916
2024-05-28,6.532726429099547e-06,61,60,4.057397022886823
2024-05-29,5.1871944764600515e-06,61,60,3.615484764271498
2024-05-30,5.046702491082482e-06,61,60,3.5661870783131744
2024-05-31,5.588163097521521e-06,61,60,3.7526218841969987
2024-06-03,1.0726087871127433e-05,61,60,5.199013505968332
2024-06-04,9.979281012646069e-06,61,60,5.0147570381692566
2024-06-05,5.777511488482747e-06,61,60,3.815668873340102
2024-06-06,1.7747735490941914e-05,61,60,6.687622405397424
2024-06-07,1.3123686859667803e-05,61,60,5.750799151975564
2024-06-11,1.4637251475313718e-05,61,60,6.073374162505598
2024-06-12,5.9290767425681e-06,61,60,3.8653943383918303
2024-06-13,8.955894742454807e-06,61,60,4.750668874062485
2024-06-14,7.25122086181342e-06,61,60,4.274701927827228
2024-06-17,8.209028326554104e-06,61,60,4.548269053487968
2024-06-18,6.8872011263106866e-06,61,60,4.166022904198071
2024-06-19,8.253531507815765e-06,61,60,4.560581037509993
2024-06-20,9.084577608038135e-06,61,60,4.784677164893793
2024-06-21,8.143413225551312e-06,61,60,4.530055333921354
2024-06-24,1.752733863605286e-05,61,60,6.645968203569229
2024-06-25,7.127374712317631e-06,61,60,4.238040145520147
2024-06-26,4.76030285939715e-06,61,60,3.4635189050560733
2024-06-27,7.443717192466475e-06,61,60,4.331069997704438
2024-06-28,7.552135018865075e-06,61,60,4.362497019774339
2024-07-01,7.298129717543806e-06,61,60,4.288506370312441
2024-07-02,1.2749654161785444e-05,61,60,5.668256212248995
2024-07-03,6.785883990421374e-06,61,60,4.135266334332272
2024-07-04,4.8969392532881806e-06,61,60,3.512874452394537
2024-07-05,1.8404051355625693e-05,61,60,6.810154874610176
2024-07-08,6.663735624030427e-06,61,60,4.097879179838844
2024-07-09,1.1945056462341074e-05,61,60,5.486487244594624
2024-07-10,5.787017292920034e-06,61,60,3.8188065646427396
2024-07-11,1.6372598975524726e-05,61,60,6.423312962819288
2024-07-12,7.049929774507845e-06,61,60,4.214952316665014
2024-07-15,6.906520341440355e-06,61,60,4.171861845798552
2024-07-16,1.3630955638878606e-05,61,60,5.860888005240681
2024-07-17,7.953566938308101e-06,61,60,4.476939656119614
2024-07-18,1.1311363838814682e-05,61,60,5.338973391375255
2024-07-19,1.7162096369165522e-05,61,60,6.5763578712154285
2024-07-22,5.704057821996488e-06,61,60,3.7913356104981197
2024-07-23,6.617019367724379e-06,61,60,4.083489782853072
2024-07-24,2.1047414495665916e-05,61,60,7.282821192990949
2024-07-25,2.226095228279075e-05,61,60,7.48983309244156
2024-07-26,1.1246411449548874e-05,61,60,5.323622531027454
2024-07-29,6.057017055977361e-06,61,60,3.9068763713564
2024-07-30,1.705861307533173e-05,61,60,6.556500968491956
2024-07-31,2.5628531180348116e-05,61,60,8.036410801749575
2024-08-01,7.762592715262307e-06,61,60,4.422864868211668
2024-08-02,1.0773191461787332e-05,61,60,5.210416728410893
2024-08-05,1.402624914836155e-05,61,60,5.945262639603999
2024-08-06,1.1065243218235162e-05,61,60,5.280569373652107
2024-08-07,1.1010354649645832e-05,61,60,5.267456095413373
2024-08-08,1.2989387701048324e-05,61,60,5.721298541995671
2024-08-09,7.159002135593536e-06,61,60,4.24743279896171
2024-08-12,8.019857526155425e-06,61,60,4.495557914865703
2024-08-13,1.2701426009176304e-05,61,60,5.657525390409157
2024-08-14,5.778912023269771e-06,61,60,3.8161313261783616
2024-08-15,2.6954690476418998e-05,61,60,8.241712200785457
2024-08-16,1.0874095944902947e-05,61,60,5.234760909645772
2024-08-19,4.801720878783521e-06,61,60,3.4785538107860967
2024-08-20,4.571254773799811e-06,61,60,3.3940480300042193
2024-08-21,1.8792933518008062e-05,61,60,6.881728886361356
2024-08-22,6.729634874643697e-06,61,60,4.118091777037287
2024-08-23,5.78009438544954e-06,61,60,3.8165216953834866
2024-08-26,6.520391616305807e-06,61,60,4.05356471184199
2024-08-27,5.510457216522271e-06,61,60,3.7264396125036194
2024-08-28,1.8178218057437186e-05,61,60,6.768242719106763
2024-08-29,1.819789346431742e-05,61,60,6.771904571837963
2024-08-30,2.094203553310587e-05,61,60,7.264566714087413
2024-09-02,1.0302623485275638e-05,61,60,5.0953519194354575
2024-09-03,1.7583100649391075e-05,61,60,6.656531652179347
2024-09-04,8.878711836570297e-06,61,60,4.730153679126837
2024-09-05,1.865377400767778e-05,61,60,6.856202337981866
2024-09-06,4.092765517620693e-06,61,60,3.211505737875015
2024-09-09,1.476174401647821e-05,61,60,6.09914706508419
2024-09-10,8.131824776648944e-06,61,60,4.52683094859476
2024-09-11,1.3315385254466646e-05,61,60,5.7926479990808994
2024-09-12,8.885540969904723e-06,61,60,4.731972447527553
2024-09-13,6.9014885831008356e-06,61,60,4.170341860017486
2024-09-18,8.085240518332647e-06,61,60,4.513846043696913
2024-09-19,4.744427435783756e-05,61,60,10.934329946629132
2024-09-20,8.708114170941263e-06,61,60,4.684490122817209
2024-09-23,8.070412585932979e-06,61,60,4.509705058709617
2024-09-24,2.5192060748877485e-05,61,60,7.967684298914664
2024-09-25,3.6724279482672014e-05,61,60,9.620040763756329
2024-09-26,3.3152457436059406e-05,61,60,9.140251240467611
2024-09-27,1.682561827499842e-05,61,60,6.511571089452685
2024-09-30,5.519860569679615e-05,61,60,11.794086923366569
2024-10-08,0.0005378881360446652,61,60,36.81681820625672
2024-10-09,0.0002373303579695976,61,60,24.455520891679775
2024-10-10,0.00024990958437303703,61,60,25.095261557115784
2024-10-11,0.00011872519526673145,61,60,17.29703708940243
2024-10-14,9.631643977511021e-05,61,60,15.579391138079746
2024-10-15,4.9724288656140284e-05,61,60,11.193980856401065
